T37,R,P1,laid the groundwork,/leɪd ðə ˈɡraʊndˌwɜrk/ - verb phrase,Prepared the foundation or basis for something,زمینه‌سازی کرده بودند,"While many other observers and thinkers had laid the groundwork for science, Thales made the first steps toward a new approach.","زمینه سازی کرد
laid the groundwork
---
",[sound:TPO37/laid_the_groundwork.mp3]
T37,R,P1,objective,/əbˈdʒɛktɪv/ - adjective,Not influenced by personal feelings or opinions; considering only facts,عینی,"Thales made the first steps toward a new, more objective approach to finding out about the world.","هدف
objective
---
objective
noun
هدف, مقصود, منظور

هدف: target, aim, goal, purpose, objective, object 72
مقصود: purpose, intention, goal, aim, meaning, objective 0
منظور: purpose, end, intention, aim, objective, meaning 0
_______________________
objective
adjective
عینی, بی طرف, مفعولی, قابل مشاهده, حالت مفعولی, برونی, علمی و بدون نظر خصوصی

عینی: objective, visual, exact, identical, genuine, identic 6
بی طرف: neutral, impartial, objective, disinterested, non-partisan, dispassionate 0
مفعولی: objective 0
قابل مشاهده: observable, objective 0
حالت مفعولی: dative, accusative, objective 0
برونی: exogenous, outside, objective 0
علمی و بدون نظر خصوصی: objective 0
_______________________
هدف، مرادبی طرف، علمی و بدون نظر شخصی، حالت مفعولی، برونی، عینی، هدف، منظور، مقصود، معقول، دارای وجود خارجی، آماج، منظور از عملیات، عملی، واقعی، قابل مشاهده،علوم مهندسی:برون ذات،کامپیوتر:هدف،روانشناسی:هدف،بازرگانی:عینی،علوم نظامی:عدسی، شیئی",[sound:TPO37/objective.mp3]
T37,R,P1,posed,/poʊzd/ - verb,Presented or put forward (a question or problem),مطرح کرد,He posed a very basic question: “What is the world made of?”,"مطرح کرد
posed
---
pose
verb
ژست گرفتن, اقامه کردن, گذاردن, قرار دادن, وانمود شدن, قیافه گرفتن, خود نمایی کردن

ژست گرفتن: pose 0
اقامه کردن: advance, pose, allege 0
گذاردن: lay, set, imprint, repose, import, instate 0
قرار دادن: put, locate, place, set, include, posit 0
وانمود شدن: pose, put on, seem 0
قیافه گرفتن: pose, snoot 0
خود نمایی کردن: flaunt, show off, dash, grandstand, pose, posture 0
_______________________
",[sound:TPO37/posed.mp3]
T37,R,P1,attained,/əˈteɪnd/ - verb,Achieved or reached,دست یافته بودند,"His two best-known followers, though there were undoubtedly others who attained less renown, were Anaximander and Anaximenes.","به دست آورد
attained
---
attain
verb
رسیدن, رسیدن به, دست یافتن, نائل شدن, بدست اوردن, تمام کردن, زدن

رسیدن: achieve, get, arrive, attain, come, gain 23
رسیدن به: reach, attain, overtake, have, touch 19
دست یافتن: achieve, attain, accede 0
نائل شدن: attain, reach, gain, accede, fetch up 0
بدست اوردن: get, obtain, gain, reap, procure, acquire 0
تمام کردن: finish, wrap up, fulfill, attain, end, exhaust 0
زدن: touch, hit, beat, slap, strike, imprint 0
_______________________
",[sound:TPO37/attained.mp3]
T37,R,P1,renown,/rɪˈnaʊn/ - noun,The condition of being known or talked about by many people; fame,شهرت,"His two best-known followers, though there were undoubtedly others who attained less renown, were Anaximander and Anaximenes.","شهرت
renown
---
renown
noun
شهرت, نام, صیت, اشتهار, اوازه

شهرت: reputation, fame, celebrity, popularity, renown, glory 47
نام: name, title, first name, nomenclature, appellation, renown 0
صیت: renown, popularity 0
اشتهار: reputation, glory, renown, repute, reputability, popularization 0
اوازه: reputation, air, bruit, buzz, fame, renown 0
_______________________
اوازه، نام، شهرت، معروفیت، اشتهار، صیت، مشهور کردن،قانون فقه:شیاع، معروفیت",[sound:TPO37/renown.mp3]
T37,R,P1,coast,/koʊst/ - noun,The part of the land near the sea; the edge of the land,ساحل,Both were also from Miletus (located on the southern coast of present-day Turkey).,"ساحل
coast
---
coast
noun
ساحل, دریا کنار

ساحل: beach, coast, shore, bank, strand, brae 43
دریا کنار: seaside, coast, seacoast, seastrand 0
_______________________
coast
verb
سریدن

سریدن: skid, slide, slither, coast, glide, slip 0
_______________________
کنار دریاساحل، دریاکنار، سریدن، سرازیر رفتن،زیست شناسی:کرانه،علوم نظامی:کنار دریا،علوم دریایی:ناوبری کرانه ای",[sound:TPO37/coast.mp3]
T37,R,P1,ambitiously,/æmˈbɪʃəsli/ - adverb,"With a strong desire to achieve something or to be successful, typically requiring determination and hard work",جاه‌طلبانه,Anaximander ambitiously attempted to write a comprehensive history of the universe.,"جاه طلبانه
ambitiously
---
جاه طلبانه، ارزومندانه، مشتاقانه",[sound:TPO37/ambitiously.mp3]
T37,R,P1,conceive,/kənˈsiv/ - verb,Form or devise (a plan or idea) in the mind,تصور کرد,Anaximander was one of the first to conceive of the idea that all life originated in the sea.,"حامله شدن
conceive
---
conceive
verb
تصور کردن, فهمیدن, پنداشتن, ابستن شدن

تصور کردن: imagine, fancy, conceive, visualize, trow, fail 0
فهمیدن: understand, figure out, see, realize, comprehend, conceive 0
پنداشتن: deem, suppose, count, assume, take, conceive 0
ابستن شدن: conceive, engender 0
_______________________
تصور کردنپنداشتن، درک کردن، دیدن، ایجاد کردن، حمل کردن، حامله شدن، آبستن شدن",[sound:TPO37/conceive.mp3]
T37,R,P1,conjecture,/kənˈdʒɛktʃər/ - verb,Form an opinion or supposition about something on the basis of incomplete information,حدس زدن,He believed that Earth’s surface was curved and conjectured that its shape was cylindrical.,"حدس
conjecture
---
conjecture
noun
حدس, گمان, تخمین, ظن

حدس: guess, conjecture, surmise, aim, supposal 43
گمان: doubt, thought, guess, opinion, conjecture, impression 7
تخمین: estimate, estimation, approximation, assessment, guess, conjecture 1
ظن: suspicion, hunch, conjecture, guess, surmise 0
_______________________
conjecture
verb
حدس زدن, گمان بردن

حدس زدن: guess, guesstimate, infer, surmise, conjecture, rede 0
گمان بردن: conjecture, surmise 0
_______________________
ظن، تخمین، حدس زدن، گمان بردن،قانون فقه:گمان، حدس و تخمین زدن،روانشناسی:حدس",[sound:TPO37/conjecture.mp3]
T37,R,P1,heavens,/ˈhɛvənz/ - noun,"The sky, especially when regarded as a tangible thing",آسمان‌ها,Anaximander observed the motions of the heavens around the polestar.,"بهشت
heavens
---
heaven
noun
آسمان, بهشت, خدا, عرش, فلک, سپهر, عالم روحانی, قدرت پروردگار, گردون, هفت طبقه اسمان

آسمان: sky, heaven, heaven, firmament, Olympus, height 34
بهشت: heaven, paradise, Eden, Elysium, Zion 25
خدا: god, heaven, Almighty God, deity, holy, divinity 0
عرش: throne, heaven, empyrean, siege 0
فلک: heaven, sphere, sky, firmament, felucca, doom 0
سپهر: heaven, sky 0
عالم روحانی: spirituality, heaven 0
قدرت پروردگار: heaven 0
گردون: sphere, heaven 0
هفت طبقه اسمان: heaven 0
_______________________
heaven:بهشتعرش، هفت آسمان، سپهر، گردون، فلک، هفت طبقه آسمان،نجوم:سبع طباق",[sound:TPO37/heavens.mp3]
