T25,R,P1,extensive impact cratering,/ɪkˈstɛnsɪv ˈɪmpækt ˈkreɪtərɪŋ/ - noun,Formation of numerous craters due to meteoroid impacts over a wide area,گودال‌های برخوردی گسترده,The surface of Mars shows extensive impact cratering.,"دهانه برخوردی گسترده
extensive impact cratering
---
",[sound:TPO25/extensive_impact_cratering.mp3]
T25,R,P1,extent of impact cratering on their slopes,/ɪkˈstɛnt əv ˈɪmpækt ˈkreɪtərɪŋ ɑn ðɛr sloʊps/ - noun,The degree to which craters caused by impacts cover the slopes of volcanoes,میزان گودال‌های برخوردی در دامنه‌ها,Scientists estimate the age of Martian volcanoes based on the extent of impact cratering on their slopes.,"میزان برخورد دهانه در شیب های آنها
extent of impact cratering on their slopes
---
",[sound:TPO25/extent_of_impact_cratering_on_their_slopes.mp3]
T25,R,P1,bulge,/bʌldʒ/ - noun,A protruding part; a rounded swelling or hump,برآمدگی,The Tharsis bulge is an enormous geologic area near Mars’s equator.,"برآمدگی
bulge
---
bulge
noun
تحدب, ورم, صعود, شکم, بالارفتگی, بر امدگی

تحدب: convexity, bulge 3
ورم: swelling, edema, bunny, dropsy, tumor, bulge 0
صعود: ascent, rise, ascension, mount, bulge, escalade 0
شکم: abdomen, belly, tummy, womb, gut, bulge 0
بالارفتگی: bulge 0
بر امدگی: bump, bulge, protuberance, ganglion, tumor, promontory 0
_______________________
bulge
verb
متورم شدن, جلو دادن, باد کردن

متورم شدن: swell, distend, bulge, inflate 0
جلو دادن: prepay, bulge 0
باد کردن: perk, inflate, bloat, distend, fluff, bulge 0
_______________________
برامدن، شکم دادن، گیره سنگ (کوهنوردی)، برامدگی، شکم، تحدب، بالارفتگی، صعود، متورم شدن، باد کردن،علوم مهندسی:تورم،ورزش:گیره سنگ",[sound:TPO25/bulge.mp3]
T25,R,P1,measuring,/ˈmɛʒərɪŋ/ - verb,"Having a certain dimension, size, or quantity",اندازه‌گیری,"Olympus Mons, measuring some 700 kilometers in diameter at its base, is the largest volcano on Mars.","اندازه گیری
measuring
---
measure
verb
اندازه گرفتن, سنجیدن, پیمانه کردن, اندازه نشان دادن, اندازه داشتن, پیمودن, در امدن

اندازه گرفتن: measure, gage, gauge, mete, span, stack up 0
سنجیدن: measure, evaluate, figure out, weigh, compare, consider 0
پیمانه کردن: gauge, measure 0
اندازه نشان دادن: measure 0
اندازه داشتن: measure 0
پیمودن: traverse, travel, wend, mete, measure, run 0
در امدن: eventuate, burgeon, enter, erupt, measure, prove 0
_______________________
درخور اندازه گیری",[sound:TPO25/measuring.mp3]
T25,R,P1,intermittently,/ˌɪntərˈmɪtəntli/ - adverb,Occurring at irregular intervals; not continuously or steadily,به طور متناوب,Some of the Martian volcanoes may still be intermittently active.,"به صورت متناوب
intermittently
---
بطور متناوب، بنوبت",[sound:TPO25/intermittently.mp3]
T25,R,P1,cratering,/ˈkreɪtərɪŋ/ - noun,The process of forming craters on a surface,گودال‌سازی,The Mariner spacecraft found that the surface of Mars is pitted with cratering formed by meteoroids.,"دهانه
cratering
---
خرج تخریب،علوم نظامی:خرج مخصوص تهیه چاله تخریب",[sound:TPO25/cratering.mp3]
T25,R,P1,pitted,/ˈpɪtɪd/ - adjective,Having small marks or holes caused by something striking a surface,حفره‌دار,"The surface of Mars, as well as that of its two moons, is pitted with impact craters.","حفره دار
pitted
---
pitted
adjective
حفره دار, چاله چاله

حفره دار: pitted, alveolar, vacuolar 60
چاله چاله: pitted 2
_______________________
حفره دار، سوراخ سوراخ، چاله چاله",[sound:TPO25/pitted.mp3]
T25,R,P1,obliterated,/əˈblɪtəˌreɪtɪd/ - verb,Destroyed completely; wiped out,محو شده,"On the Moon, ancient craters have been obliterated by meteoritic erosion.","محو شده است
obliterated
---
obliterate
verb
پاک کردن, معدوم کردن, محو کردن, زدودن, سربه سر کردن, ستردن, ناپدید ساختن

پاک کردن: erase, clean, wipe, purify, cleanse, mop 15
معدوم کردن: obliterate, ruinate 6
محو کردن: blur, wipe out, eliminate, deface, obliterate, blot out 1
زدودن: remove, eliminate, clear, wipe, sweep, obliterate 1
سربه سر کردن: bane, wreck, annihilate, assassinate, consume, obliterate 0
ستردن: erase, shave, efface, obliterate, rase, raze 0
ناپدید ساختن: obliterate 0
_______________________
از بین بردن، ستردن، محو کردن، زدودن، پاک کردن، معدوم کردن،قانون فقه:حک کردن پاک کردن",[sound:TPO25/obliterated.mp3]
T25,R,P1,ejecta,/ɪˈdʒɛktə/ - noun,Material that is thrown out as a result of a volcanic eruption or meteoroid impact,پرتابه,Martian craters are surrounded by ejecta that looks quite different from its lunar counterparts.,"پرتاب
ejecta
---
مواد بیرون ریخته، مدفوعات",[sound:TPO25/ejecta.mp3]
T25,R,P1,debris,/dəˈbri/ - noun,"Scattered fragments, typically of something wrecked or destroyed",آوار,"The ejecta surrounding the lunar crater is a mix of dust, soil, and boulders.","زباله
debris
---
debris
noun
باقی مانده, خرده, اوار, اثار مخروبه, اشغال روی هم ریخته

باقی مانده: residue, remainder, remnant, debris, rest, dregs 13
خرده: small, crumb, debris, filings, particle, bit 0
اوار: debris, shakedown, collapse, detrition 0
اثار مخروبه: debris 0
اشغال روی هم ریخته: debris 0
_______________________
آوارخاک و شن، قلوه سنگ، خرده، باقی مانده، آثار مخروبه، آشغال روی هم ریخته،معماری:واریزه،زیست شناسی:مانده طبیعی،علوم نظامی:خار و خاشاک",[sound:TPO25/debris.mp3]
T25,R,P1,boulder,/ˈboʊldər/ - noun,"A large rock, typically one that has been worn smooth by erosion",تخته سنگ,"The debris included dust, soil, and large boulders.","تخته سنگ
boulder
---
boulder
noun
تخته سنگ, سنگ, گرداله

تخته سنگ: slate, boulder, rock, crag, slab, bowlder 43
سنگ: stone, rock, boulder, calculus, flagstone 4
گرداله: boulder 0
_______________________
تخته سنگ، سنگ، گرداله،معماری:سنگ ساییده شده",[sound:TPO25/boulder.mp3]
T25,R,P1,distinct impression,/dɪˈstɪŋkt ɪmˈprɛʃən/ - noun,A clear and unmistakable perception or feeling,تصور واضح,The ejecta on Mars gives the distinct impression of a liquid that has splashed out of the crater.,"تصور متمایز
distinct impression
---
",[sound:TPO25/distinct_impression.mp3]
